"parent","code","name"
"","A","Agriculture, forestry and fishing"
"A","01","Crop and animal production, hunting and related service activities"
"01","011","Growing of non-perennial crops"
"011","0111","Growing of cereals (except rice), leguminous crops and oil seeds"
"011","0112","Growing of rice"
"011","0113","Growing of vegetables and melons, roots and tubers"
"011","0114","Growing of sugar cane"
"011","0115","Growing of tobacco"
"011","0116","Growing of fibre crops"
"011","0119","Growing of other non-perennial crops"
"01","012","Growing of perennial crops"
"012","0121","Growing of grapes"
"012","0122","Growing of tropical and subtropical fruits"
"012","0123","Growing of citrus fruits"
"012","0124","Growing of pome fruits and stone fruits"
"012","0125","Growing of other tree and bush fruits and nuts"
"012","0126","Growing of oleaginous fruits"
"012","0127","Growing of beverage crops"
"012","0128","Growing of spices, aromatic, drug and pharmaceutical crops"
"012","0129","Growing of other perennial crops"
"01","013","Plant propagation"
"013","0130","Plant propagation"
"01","014","Animal production"
"014","0141","Raising of cattle and buffaloes"
"014","0142","Raising of horses and other equines"
"014","0143","Raising of camels and camelids"
"014","0144","Raising of sheep and goats"
"014","0145","Raising of swine and pigs"
"014","0146","Raising of poultry"
"014","0149","Raising of other animals"
"01","015","Mixed farming"
"015","0150","Mixed farming"
"01","016","Support activities to agriculture and post-harvest crop activities"
"016","0161","Support activities for crop production"
"016","0162","Support activities for animal production"
"016","0163","Post-harvest crop activities"
"016","0164","Seed processing for propagation"
"01","017","Hunting, trapping and related service activities"
"017","0170","Hunting, trapping and related service activities"
"A","02","Forestry and logging"
"02","021","Silviculture and other forestry activities"
"021","0210","Silviculture and other forestry activities"
"02","022","Logging"
"022","0220","Logging"
"02","023","Gathering of non-wood forest products"
"023","0230","Gathering of non-wood forest products"
"02","024","Support services to forestry"
"024","0240","Support services to forestry"
"A","03","Fishing and aquaculture"
"03","031","Fishing"
"031","0311","Marine fishing"
"031","0312","Freshwater fishing"
"03","032","Aquaculture"
"032","0321","Marine aquaculture"
"032","0322","Freshwater aquaculture"
"03","033","Support activities for fishing and aquaculture"
"033","0330","Support activities for fishing and aquaculture"
"","B","Mining and quarrying"
"B","05","Mining of coal and lignite"
"05","051","Mining of hard coal"
"051","0510","Mining of hard coal"
"05","052","Mining of lignite"
"052","0520","Mining of lignite"
"B","06","Extraction of crude petroleum and natural gas"
"06","061","Extraction of crude petroleum"
"061","0610","Extraction of crude petroleum"
"06","062","Extraction of natural gas"
"062","0620","Extraction of natural gas"
"B","07","Mining of metal ores"
"07","071","Mining of iron ores"
"071","0710","Mining of iron ores"
"07","072","Mining of non-ferrous metal ores"
"072","0721","Mining of uranium and thorium ores"
"072","0729","Mining of other non-ferrous metal ores"
"B","08","Other mining and quarrying"
"08","081","Quarrying of stone, sand and clay"
"081","0810","Quarrying of stone, sand and clay"
"08","089","Mining and quarrying n.e.c."
"089","0891","Mining of chemical and fertilizer minerals"
"089","0892","Extraction of peat"
"089","0893","Extraction of salt"
"089","0899","Other mining and quarrying n.e.c."
"B","09","Mining support service activities"
"09","091","Support activities for petroleum and natural gas extraction"
"091","0910","Support activities for petroleum and natural gas extraction"
"09","099","Support activities for other mining and quarrying"
"099","0990","Support activities for other mining and quarrying"
"","C","Manufacturing"
"C","10","Manufacture of food products"
"10","101","Processing and preserving of meat"
"101","1010","Processing and preserving of meat"
"10","102","Processing and preserving of fish, crustaceans and molluscs"
"102","1020","Processing and preserving of fish, crustaceans and molluscs"
"10","103","Processing and preserving of fruit and vegetables"
"103","1030","Processing and preserving of fruit and vegetables"
"10","104","Manufacture of vegetable and animal oils and fats"
"104","1040","Manufacture of vegetable and animal oils and fats"
"10","105","Manufacture of dairy products"
"105","1050","Manufacture of dairy products"
"10","106","Manufacture of grain mill products, starches and starch products"
"106","1061","Manufacture of grain mill products"
"106","1062","Manufacture of starches and starch products"
"10","107","Manufacture of other food products"
"107","1071","Manufacture of bakery products"
"107","1072","Manufacture of sugar"
"107","1073","Manufacture of cocoa, chocolate and sugar confectionery"
"107","1074","Manufacture of macaroni, noodles, couscous and similar farinaceous products"
"107","1075","Manufacture of prepared meals and dishes"
"107","1076","Processing of coffee and tea"
"107","1079","Manufacture of other food products n.e.c."
"10","108","Manufacture of prepared animal feeds"
"108","1080","Manufacture of prepared animal feeds"
"C","11","Manufacture of beverages"
"11","110","Manufacture of beverages"
"110","1101","Distilling, rectifying and blending of spirits"
"110","1102","Manufacture of wines"
"110","1103","Manufacture of beer"
"110","1104","Manufacture of malt"
"110","1105","Manufacture of soft drinks; production of mineral waters and other bottled waters"
"C","12","Manufacture of tobacco products"
"12","120","Manufacture of tobacco products"
"120","1200","Manufacture of tobacco products"
"C","13","Manufacture of textiles"
"13","131","Spinning, weaving and finishing of textiles"
"131","1311","Preparation and spinning of textile fibres"
"131","1312","Weaving of textiles"
"131","1313","Finishing of textiles"
"13","139","Manufacture of other textiles"
"139","1391","Manufacture of knitted and crocheted fabrics"
"139","1392","Manufacture of made-up textile articles, except apparel"
"139","1393","Manufacture of carpets and rugs"
"139","1394","Manufacture of cordage, rope, twine and netting"
"139","1399","Manufacture of other textiles n.e.c."
"C","14","Manufacture of wearing apparel"
"14","141","Manufacture of wearing apparel, except fur apparel"
"141","1410","Manufacture of wearing apparel, except fur apparel"
"14","142","Manufacture of articles of fur"
"142","1420","Manufacture of articles of fur"
"14","143","Manufacture of knitted and crocheted apparel"
"143","1430","Manufacture of knitted and crocheted apparel"
"C","15","Manufacture of leather and related products"
"15","151","Tanning, dyeing, dressing of leather and fur; manufacture of luggage, handbags, saddlery and harness"
"151","1511","Tanning and dressing of leather; dressing and dyeing of fur"
"151","1512","Manufacture of luggage, handbags and the like, saddlery and harness of any material"
"15","152","Manufacture of footwear"
"152","1520","Manufacture of footwear"
"C","16","Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials"
"16","161","Sawmilling and planing of wood"
"161","1610","Sawmilling and planing of wood"
"16","162","Manufacture of products of wood, cork, straw and plaiting materials"
"162","1621","Manufacture of veneer sheets and wood-based panels"
"162","1622","Manufacture of builders' carpentry and joinery"
"162","1623","Manufacture of wooden containers"
"162","1629","Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials"
"C","17","Manufacture of paper and paper products"
"17","170","Manufacture of paper and paper products"
"170","1701","Manufacture of pulp, paper and paperboard"
"170","1702","Manufacture of corrugated paper and paperboard and of containers of paper and paperboard"
"170","1709","Manufacture of other articles of paper and paperboard"
"C","18","Printing and reproduction of recorded media"
"18","181","Printing and service activities related to printing"
"181","1811","Printing"
"181","1812","Service activities related to printing"
"18","182","Reproduction of recorded media"
"182","1820","Reproduction of recorded media"
"C","19","Manufacture of coke and refined petroleum products"
"19","191","Manufacture of coke oven products"
"191","1910","Manufacture of coke oven products"
"19","192","Manufacture of refined petroleum products; manufacture of fossil fuel products"
"192","1920","Manufacture of refined petroleum products; manufacture of fossil fuel products"
"C","20","Manufacture of chemicals and chemical products"
"20","201","Manufacture of basic chemicals, fertilizers and nitrogen compounds, plastics and synthetic rubber in primary forms"
"201","2011","Manufacture of basic chemicals"
"201","2012","Manufacture of fertilizers and nitrogen compounds"
"201","2013","Manufacture of plastics and synthetic rubber in primary forms"
"20","202","Manufacture of other chemical products"
"202","2021","Manufacture of pesticides and other agrochemical products"
"202","2022","Manufacture of paints, varnishes and similar coatings, printing ink and mastics"
"202","2023","Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations"
"202","2029","Manufacture of other chemical products n.e.c."
"20","203","Manufacture of man-made fibres"
"203","2030","Manufacture of man-made fibres"
"C","21","Manufacture of basic pharmaceutical products and pharmaceutical preparations"
"21","210","Manufacture of pharmaceuticals, medicinal chemical and botanical products"
"210","2100","Manufacture of pharmaceuticals, medicinal chemical and botanical products"
"C","22","Manufacture of rubber and plastic products"
"22","221","Manufacture of rubber products"
"221","2211","Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres"
"221","2219","Manufacture of other rubber products"
"22","222","Manufacture of plastics products"
"222","2220","Manufacture of plastics products"
"C","23","Manufacture of other non-metallic mineral products"
"23","231","Manufacture of glass and glass products"
"231","2310","Manufacture of glass and glass products"
"23","239","Manufacture of non-metallic mineral products n.e.c."
"239","2391","Manufacture of refractory products"
"239","2392","Manufacture of clay building materials"
"239","2393","Manufacture of other porcelain and ceramic products"
"239","2394","Manufacture of cement, lime and plaster"
"239","2395","Manufacture of articles of concrete, cement and plaster"
"239","2396","Cutting, shaping and finishing of stone"
"239","2399","Manufacture of other non-metallic mineral products n.e.c."
"C","24","Manufacture of basic metals"
"24","241","Manufacture of basic iron and steel"
"241","2410","Manufacture of basic iron and steel"
"24","242","Manufacture of basic precious and other non-ferrous metals"
"242","2420","Manufacture of basic precious and other non-ferrous metals"
"24","243","Casting of metals"
"243","2431","Casting of iron and steel"
"243","2432","Casting of non-ferrous metals"
"C","25","Manufacture of fabricated metal products, except machinery and equipment"
"25","251","Manufacture of structural metal products, tanks, reservoirs and steam generators"
"251","2511","Manufacture of structural metal products"
"251","2512","Manufacture of tanks, reservoirs and containers of metal"
"251","2513","Manufacture of steam generators, except central heating hot water boilers"
"25","252","Manufacture of weapons and ammunition"
"252","2520","Manufacture of weapons and ammunition"
"25","259","Manufacture of other fabricated metal products; metalworking service activities"
"259","2591","Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"259","2592","Treatment and coating of metals; machining"
"259","2593","Manufacture of cutlery, hand tools and general hardware"
"259","2599","Manufacture of other fabricated metal products n.e.c."
"C","26","Manufacture of computer, electronic and optical products"
"26","261","Manufacture of electronic components and boards"
"261","2611","Manufacture of solar cells, solar panels and photovoltaic inverters"
"261","2619","Manufacture of other electronic components and boards"
"26","262","Manufacture of computers and peripheral equipment"
"262","2620","Manufacture of computers and peripheral equipment"
"26","263","Manufacture of communication equipment"
"263","2630","Manufacture of communication equipment"
"26","264","Manufacture of consumer electronics"
"264","2640","Manufacture of consumer electronics"
"26","265","Manufacture of measuring, testing, navigating and control equipment; watches and clocks"
"265","2651","Manufacture of measuring, testing, navigating and control equipment"
"265","2652","Manufacture of watches and clocks"
"26","266","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"266","2660","Manufacture of irradiation, electromedical and electrotherapeutic equipment"
"26","267","Manufacture of optical instruments and photographic equipment"
"267","2670","Manufacture of optical instruments and photographic equipment"
"26","268","Manufacture of magnetic and optical media"
"268","2680","Manufacture of magnetic and optical media"
"C","27","Manufacture of electrical equipment"
"27","271","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
"271","2710","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus"
"27","272","Manufacture of batteries and accumulators"
"272","2720","Manufacture of batteries and accumulators"
"27","273","Manufacture of wiring and wiring devices"
"273","2731","Manufacture of fibre optic cables"
"273","2732","Manufacture of other electronic and electric wires and cables"
"273","2733","Manufacture of wiring devices"
"27","274","Manufacture of lighting equipment"
"274","2740","Manufacture of lighting equipment"
"27","275","Manufacture of domestic appliances"
